DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 7,Departure,International,48459
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 8,Arrival,Domestic,111537
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 8,Departure,Domestic,114106
2014-05-01T00:00:00,2006-08-01T00:00:00,Tom Bradley International Terminal,Arrival,Domestic,2560
2014-05-01T00:00:00,2006-08-01T00:00:00,Tom Bradley International Terminal,Arrival,International,484661
2014-05-01T00:00:00,2006-08-01T00:00:00,Tom Bradley International Terminal,Departure,International,388778
2014-05-01T00:00:00,2006-09-01T00:00:00,Imperial Terminal,Arrival,Domestic,111
2014-05-01T00:00:00,2006-09-01T00:00:00,Imperial Terminal,Departure,Domestic,211
2014-05-01T00:00:00,2006-09-01T00:00:00,Misc. Terminal,Arrival,Domestic,209
2014-05-01T00:00:00,2006-09-01T00:00:00,Misc. Terminal,Departure,Domestic,152
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 1,Arrival,Domestic,382011
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 1,Departure,Domestic,376874
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 1,Departure,International,114
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 2,Arrival,Domestic,95225
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 2,Arrival,International,161321
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 2,Departure,Domestic,93291
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 2,Departure,International,160693
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 3,Arrival,Domestic,147121
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 3,Arrival,International,19726
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 3,Departure,Domestic,140018
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 3,Departure,International,45354
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 4,Arrival,Domestic,379889
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 4,Arrival,International,57183
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 4,Departure,Domestic,375614
2014-05-01T00:00:00,2006-09-01T00:00:00,Terminal 4,Departure,International,46217
